JFM_prec,year
254.93722941183944,1979.0
291.49974657001457,1980.0
339.10064184559224,1981.0
264.51634769864705,1982.0
209.74991891120266,1983.0
241.91965221058786,1984.0
316.7562846352316,1985.0
261.99206563804023,1986.0
323.5784663041712,1987.0
388.82199797152975,1988.0
421.40871034717554,1989.0
307.10690918247343,1990.0
454.8834316469666,1991.0
170.24780833278427,1992.0
252.9423831285526,1993.0
320.1311797789581,1994.0
261.051775039783,1995.0
397.42256637608625,1996.0
327.8486664291756,1997.0
319.3263895826145,1998.0
204.76136017711917,1999.0
643.8435397990042,2000.0
217.6267503855456,2001.0
259.78435436032333,2002.0
252.522574178498,2003.0
337.78035770093663,2004.0
330.7097541079902,2005.0
487.0840890513303,2006.0
101.54345916568005,2007.0
285.4186639367999,2008.0
378.51208137301876,2009.0
371.0646170151307,2010.0
316.8004298838968,2011.0
194.2938540523494,2012.0
178.03559205228268,2013.0
330.69329504787027,2014.0
186.41337310855155,2015.0
258.39857521325115,2016.0
352.8857424601609,2017.0
279.58244780326123,2018.0
